#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_002946.2	159	1715	+	3283049	dnaA	NGO0001	YP_207186.1	518	-	chromosomal replication initiation protein
chr	NC_002946.2	1795	2898	+	3283050	-	NGO0002	YP_207187.1	367	-	DNA polymerase III subunit beta
chr	NC_002946.2	3047	5104	-	3283051	-	NGO0003	YP_207188.1	685	-	polyphosphate kinase
chr	NC_002946.2	5273	5716	-	3283052	-	NGO0004	YP_207189.1	147	-	hypothetical protein NGO0004
chr	NC_002946.2	6500	9136	+	3283053	leuS	NGO0006	YP_207190.1	878	-	leucyl-tRNA synthetase
chr	NC_002946.2	9365	10294	+	3283054	-	NGO0007	YP_009115477.1	309	-	restriction endonuclease
chr	NC_002946.2	12417	12728	-	3283058	-	NGO0011	YP_207195.1	103	-	DNA-binding protein
chr	NC_002946.2	14081	14431	-	3283060	secG	NGO0016	YP_207197.1	116	-	preprotein translocase subunit SecG
chr	NC_002946.2	14438	15211	-	3283061	tpiA	NGO0017	YP_207198.1	257	-	triosephosphate isomerase
chr	NC_002946.2	15370	15897	+	3283062	-	NGO0018	YP_207199.1	175	-	hypothetical protein NGO0018
chr	NC_002946.2	16000	16656	+	3283075	-	NGO0019	YP_207200.1	218	-	protein-L-isoaspartate O-methyltransferase
chr	NC_002946.2	16737	17060	+	3283063	-	NGO0020	YP_207201.1	107	-	hypothetical protein NGO0020
chr	NC_002946.2	17323	19500	-	3283064	-	NGO0021	YP_207202.1	725	-	TonB-dependent receptor protein
chr	NC_002946.2	19763	20086	-	3283065	-	NGO0022	YP_207203.1	107	-	hypothetical protein NGO0022
chr	NC_002946.2	20119	21090	-	3283066	-	NGO0023	YP_207204.1	323	-	iron ABC transporter substrate-binding protein
chr	NC_002946.2	21326	22282	+	3283069	-	NGO0025	YP_207206.1	318	-	AraC family transcriptional regulator
chr	NC_002946.2	22395	24410	-	3283068	-	NGO0026	YP_207207.1	671	-	prolyl endopeptidase
chr	NC_002946.2	24506	25816	-	3283070	-	NGO0027	YP_207208.1	436	-	N-acetylglutamate synthase
chr	NC_002946.2	25813	26241	-	3282486	-	NGO0028	YP_207209.1	142	-	hypothetical protein NGO0028
chr	NC_002946.2	26309	26950	-	3282518	pyrE	NGO0029	YP_207210.1	213	-	orotate phosphoribosyltransferase
chr	NC_002946.2	27012	27749	-	3282003	-	NGO0030	YP_207211.1	245	-	hypothetical protein NGO0030
chr	NC_002946.2	27743	28183	-	3281862	-	NGO0031	YP_207212.1	146	-	acetyltransferase
chr	NC_002946.2	28180	28857	-	3281867	-	NGO0032	YP_207213.1	225	-	hypothetical protein NGO0032
chr	NC_002946.2	28996	29853	-	3281909	-	NGO0033	YP_207214.1	285	-	lipoprotein
chr	NC_002946.2	29992	31056	-	3282170	-	NGO0034	YP_207215.1	354	-	fructose-1,6-bisphosphate aldolase
chr	NC_002946.2	31250	32167	+	3282503	-	NGO0035	YP_207216.1	305	-	site-specific recombinase
chr	NC_002946.2	32252	34165	+	3281875	-	NGO0036	YP_207217.1	637	-	1-deoxy-D-xylulose-5-phosphate synthase
chr	NC_002946.2	34412	35740	-	3282401	-	NGO0037	YP_207218.1	442	-	(dimethylallyl)adenosine tRNA methylthiotransferase
chr	NC_002946.2	36524	37804	+	3282386	-	NGO0040	YP_207220.1	426	-	glutamate-1-semialdehyde aminotransferase
chr	NC_002946.2	39110	39673	-	3282379	-	NGO0042	YP_207221.1	187	-	oligoribonuclease
chr	NC_002946.2	39691	40578	-	3282387	prmA	NGO0043	YP_207222.1	295	-	50S ribosomal protein L11 methyltransferase
chr	NC_002946.2	40682	42043	-	3282361	-	NGO0044	YP_207223.1	453	-	acetyl-CoA carboxylase biotin carboxylase subunit
